--- ATRIBUTOS DO JOGADOR ---
ID: MonarchToken | Rota: game.Players.my8ster6yd:GetAttribute('MonarchToken') | Valor: 0
ID: Present | Rota: game.Players.my8ster6yd:GetAttribute('Present') | Valor: 0
ID: StandardMemoriaLegendaryPity | Rota: game.Players.my8ster6yd:GetAttribute('StandardMemoriaLegendaryPity') | Valor: 0
ID: SpringLegendaryPity | Rota: game.Players.my8ster6yd:GetAttribute('SpringLegendaryPity') | Valor: 0
ID: OccultLegendaryPity | Rota: game.Players.my8ster6yd:GetAttribute('OccultLegendaryPity') | Valor: 0
ID: SpringMythicPity | Rota: game.Players.my8ster6yd:GetAttribute('SpringMythicPity') | Valor: 0
ID: Gold | Rota: game.Players.my8ster6yd:GetAttribute('Gold') | Valor: 100
ID: MemoriaShards | Rota: game.Players.my8ster6yd:GetAttribute('MemoriaShards') | Valor: 0
ID: Horseshoe | Rota: game.Players.my8ster6yd:GetAttribute('Horseshoe') | Valor: 0
ID: SummerLegendaryPity | Rota: game.Players.my8ster6yd:GetAttribute('SummerLegendaryPity') | Valor: 0
ID: Leaves | Rota: game.Players.my8ster6yd:GetAttribute('Leaves') | Valor: 0
ID: StandardMemoriaVanguardPity | Rota: game.Players.my8ster6yd:GetAttribute('StandardMemoriaVanguardPity') | Valor: 0
ID: WinterLegendaryPity | Rota: game.Players.my8ster6yd:GetAttribute('WinterLegendaryPity') | Valor: 0
ID: CurrencyLoaded | Rota: game.Players.my8ster6yd:GetAttribute('CurrencyLoaded') | Valor: true
ID: PVPCoin | Rota: game.Players.my8ster6yd:GetAttribute('PVPCoin') | Valor: 0
ID: Gems | Rota: game.Players.my8ster6yd:GetAttribute('Gems') | Valor: 6230
ID: CommanderTokens | Rota: game.Players.my8ster6yd:GetAttribute('CommanderTokens') | Valor: 0
ID: RedWebs | Rota: game.Players.my8ster6yd:GetAttribute('RedWebs') | Valor: 0
ID: LimitedVanguardPity | Rota: game.Players.my8ster6yd:GetAttribute('LimitedVanguardPity') | Valor: 20
ID: SpiritWisp | Rota: game.Players.my8ster6yd:GetAttribute('SpiritWisp') | Valor: 0
ID: Presents26 | Rota: game.Players.my8ster6yd:GetAttribute('Presents26') | Valor: 1500
ID: WinterMythicPity | Rota: game.Players.my8ster6yd:GetAttribute('WinterMythicPity') | Valor: 0
ID: WinterVanguardPity | Rota: game.Players.my8ster6yd:GetAttribute('WinterVanguardPity') | Valor: 0
ID: Chocolate | Rota: game.Players.my8ster6yd:GetAttribute('Chocolate') | Valor: 0
ID: AnniversaryMythicPity | Rota: game.Players.my8ster6yd:GetAttribute('AnniversaryMythicPity') | Valor: 0
ID: WinterMemoriaMythicPity | Rota: game.Players.my8ster6yd:GetAttribute('WinterMemoriaMythicPity') | Valor: 0
ID: SummerMythicPity | Rota: game.Players.my8ster6yd:GetAttribute('SummerMythicPity') | Valor: 0
ID: Flowers | Rota: game.Players.my8ster6yd:GetAttribute('Flowers') | Valor: 0
ID: IcedTea | Rota: game.Players.my8ster6yd:GetAttribute('IcedTea') | Valor: 0
ID: CorruptedTokens | Rota: game.Players.my8ster6yd:GetAttribute('CorruptedTokens') | Valor: 0
ID: Trophies | Rota: game.Players.my8ster6yd:GetAttribute('Trophies') | Valor: 0
ID: StandardMemoriaMythicPity | Rota: game.Players.my8ster6yd:GetAttribute('StandardMemoriaMythicPity') | Valor: 0
ID: HAPPYCoin | Rota: game.Players.my8ster6yd:GetAttribute('HAPPYCoin') | Valor: 0
ID: RiftShards | Rota: game.Players.my8ster6yd:GetAttribute('RiftShards') | Valor: 0
ID: CurseTokens | Rota: game.Players.my8ster6yd:GetAttribute('CurseTokens') | Valor: 0
ID: Level | Rota: game.Players.my8ster6yd:GetAttribute('Level') | Valor: 2
ID: SpringVanguardPity | Rota: game.Players.my8ster6yd:GetAttribute('SpringVanguardPity') | Valor: 0
ID: LegacyCoin | Rota: game.Players.my8ster6yd:GetAttribute('LegacyCoin') | Valor: 0
ID: LimitedLegendaryPity | Rota: game.Players.my8ster6yd:GetAttribute('LimitedLegendaryPity') | Valor: 16
ID: GiantTokens | Rota: game.Players.my8ster6yd:GetAttribute('GiantTokens') | Valor: 0
ID: WinterMemoriaLegendaryPity | Rota: game.Players.my8ster6yd:GetAttribute('WinterMemoriaLegendaryPity') | Valor: 0
ID: DragonToken | Rota: game.Players.my8ster6yd:GetAttribute('DragonToken') | Valor: 0
ID: HollowToken | Rota: game.Players.my8ster6yd:GetAttribute('HollowToken') | Valor: 0
ID: CakeSlices | Rota: game.Players.my8ster6yd:GetAttribute('CakeSlices') | Valor: 0
ID: TraitRerolls | Rota: game.Players.my8ster6yd:GetAttribute('TraitRerolls') | Valor: 20
ID: AuricCoin | Rota: game.Players.my8ster6yd:GetAttribute('AuricCoin') | Valor: 0
ID: WinterMemoriaVanguardPity | Rota: game.Players.my8ster6yd:GetAttribute('WinterMemoriaVanguardPity') | Valor: 0
ID: CommandSeal | Rota: game.Players.my8ster6yd:GetAttribute('CommandSeal') | Valor: 0
ID: Experience | Rota: game.Players.my8ster6yd:GetAttribute('Experience') | Valor: 54.22425314473264
ID: AnniversaryLegendaryPity | Rota: game.Players.my8ster6yd:GetAttribute('AnniversaryLegendaryPity') | Valor: 0
ID: SummerVanguardPity | Rota: game.Players.my8ster6yd:GetAttribute('SummerVanguardPity') | Valor: 0
ID: WorldDestroyerCoin | Rota: game.Players.my8ster6yd:GetAttribute('WorldDestroyerCoin') | Valor: 0
ID: LimitedMythicPity | Rota: game.Players.my8ster6yd:GetAttribute('LimitedMythicPity') | Valor: 20
ID: OccultMythicPity | Rota: game.Players.my8ster6yd:GetAttribute('OccultMythicPity') | Valor: 0
